,Unnamed: 0,datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,solar_y
0,0,01/01/2017 00:00,0.484,0.062,247.86,2.2,0,0,0.0,0.0
1,1,01/01/2017 01:00,0.586,0.078,246.22,2.6,0,0,0.0,0.0
2,2,01/01/2017 02:00,0.652,0.18,244.88,2.8,0,0,0.0,0.0
3,3,01/01/2017 03:00,0.576,0.078,245.87,2.6,0,0,0.0,0.0
4,4,01/01/2017 04:00,0.478,0.062,244.7,2.2,0,0,0.0,0.0
5,5,01/01/2017 05:00,0.588,0.052,243.97,2.8,0,0,0.0,0.0
6,6,01/01/2017 06:00,0.478,0.066,242.63,2.2,0,0,0.0,0.0
7,7,01/01/2017 07:00,1.548,0.08,241.15,6.4,0,0,17.0,0.0
8,8,01/01/2017 08:00,0.558,0.05,241.62,2.4,0,2,0.0,0.0
9,9,01/01/2017 09:00,0.54,0,239.86,2.4,0,0,0.0,0.0
10,10,01/01/2017 10:00,0.468,0.07,241.22,2.2,0,0,0.0,0.0
11,11,01/01/2017 11:00,0.488,0.056,238.81,2.2,0,1,0.0,0.0
12,12,01/01/2017 12:00,0.212,0.07,240.55,1,0,0,0.0,0.0
13,13,01/01/2017 13:00,0.382,0.138,241.48,1.6,0,0,0.0,0.0
14,14,01/01/2017 14:00,0.404,0.2,244.1,1.8,0,2,0.0,272.0
15,15,01/01/2017 15:00,0.334,0.084,247.7,1.4,0,0,0.0,0.0
16,16,01/01/2017 16:00,0.396,0.182,244.66,1.8,0,0,0.0,0.0
17,17,01/01/2017 17:00,0.312,0.064,240.96,1.2,0,0,0.0,0.0
18,18,01/01/2017 18:00,0.308,0.062,241.03,1.2,0,0,0.0,0.0
19,19,01/01/2017 19:00,1.53,0,239.86,6.4,0,0,0.0,0.0
20,20,01/01/2017 20:00,3.57,0,236.74,15,0,38,0.0,0.0
21,21,01/01/2017 21:00,3.878,0.272,241.18,16,0,38,0.0,0.0
22,22,01/01/2017 22:00,1.146,0.108,242.23,4.8,0,0,0.0,0.0
23,23,01/01/2017 23:00,2.558,0.12,242.1,10.6,0,1,18.0,0.0
24,24,02/01/2017 00:00,5.806,0.152,237.32,24.4,0,74,0.0,0.0
25,25,02/01/2017 01:00,0.578,0.066,241.87,2.4,0,1,0.0,0.0
26,26,02/01/2017 02:00,0.252,0.054,247.09,1,0,0,0.0,0.0
27,27,02/01/2017 03:00,0.336,0.06,248.29,1.4,0,0,0.0,0.0
28,28,02/01/2017 04:00,0.256,0.05,248.36,1,0,0,0.0,0.0
29,29,02/01/2017 05:00,1.376,0.064,247.19,5.6,0,0,19.0,0.0
30,30,02/01/2017 06:00,0.358,0.08,244.82,1.4,0,1,0.0,0.0
